first_id,first_loci_typed,first_sample_id,first_fish_table_id,first_anem_table_id,first_size,first_color,first_gen_id,first_recap,first_tag_id,first_fish_obs_time,first_fish_collector,first_fish_notes,first_dive_table_id,first_anem_obs_time,first_anem_id,first_anem_obs,first_anem_collector,first_anem_notes,first_dive_num,first_date,first_site,first_gps,first_divers,second_id,second_loci_typed,second_sample_id,second_fish_table_id,second_anem_table_id,second_size,second_color,second_gen_id,second_recap,second_tag_id,second_fish_obs_time,second_fish_collector,second_fish_notes,second_dive_table_id,second_anem_obs_time,second_anem_id,second_anem_obs,second_anem_collector,second_anem_notes,second_dive_num,second_date,second_site,second_gps,second_divers,matching_loci,mismatching_loci,pID,pIDsib,status,mismatch_prop,first_lat,first_lon,second_lat,second_lon,date_eval
L1197,1281,APCL14_279,2586,2165,9.5,O,970,NA,NA,NA,MRS,NA,87,10:53:00,550,594,MRS,NA,26,2014-06-22,Sitio Baybayon,1,NA,L5128,1436,APCL14_279,2586,2165,9.5,O,970,NA,NA,NA,MRS,NA,87,10:53:00,550,594,MRS,NA,26,2014-06-22,Sitio Baybayon,1,NA,1227,54,0,0,Fuzzy match,0.04215456674473068,10.634474,124.77655325,10.634474,124.77655325,FAIL
L2227,1313,APCL12_205,414,353,5.7,W,170,NA,NA,NA,MLP,NA,16,12:07:00,NA,NA,MLP,NA,15,2012-05-11,Poroc San Flower,1,NA,L5176,1444,APCL12_205,414,353,5.7,W,170,NA,NA,NA,MLP,NA,16,12:07:00,NA,NA,MLP,NA,15,2012-05-11,Poroc San Flower,1,NA,1262,48,0,0,Fuzzy match,0.0366412213740458,10.7640445,124.7851795,10.7640445,124.7851795,FAIL
L0806,1447,APCL14_307,2642,2192,4.8,YR,994,NA,NA,NA,MRS,NA,88,14:40:00,568,1092,MRS,NA,27,2014-06-22,Sitio Baybayon,1,NA,L1018,1414,APCL14_307,2642,2192,4.8,YR,994,NA,NA,NA,MRS,NA,88,14:40:00,568,1092,MRS,NA,27,2014-06-22,Sitio Baybayon,1,NA,1283,131,0,0,Fuzzy match,0.09264497878359264,10.635035,124.776225,10.635035,124.776225,FAIL
L2621,1429,APCL15_354525,6546,6719,6.6,YR,1275,NA,985153000354525,NA,MRS,NA,276,14:24:00,403,405,MRS,NA,29,2015-06-13,Sitio Baybayon,3,0,L5416,1447,APCL15_354525,6546,6719,6.6,YR,1275,NA,985153000354525,NA,MRS,NA,276,14:24:00,403,405,MRS,NA,29,2015-06-13,Sitio Baybayon,3,0,1373,56,0,0,Fuzzy match,0.03918824352694192,10.633614286775,124.776807676525,10.633614286775,124.776807676525,FAIL
L3703,1447,APCL16_689,8169,7926,5.2,YR,NA,N,985153000372176,NA,MRS,NA,333,09:22:00,2149,433,MRS,NA,49,2016-06-07,Sitio Baybayon,4,0,L5374,1444,APCL16_689,8169,7926,5.2,YR,NA,N,985153000372176,NA,MRS,NA,333,09:22:00,2149,433,MRS,NA,49,2016-06-07,Sitio Baybayon,4,0,1392,52,0,0,Fuzzy match,0.036011080332409975,10.63253863715,124.776821569575,10.63253863715,124.776821569575,FAIL
L3709,1447,APCL16_683,8160,7920,8.9,YP,NA,NA,NA,NA,MRS,NA,332,14:28:00,2525,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,L5369,1444,APCL16_683,8160,7920,8.9,YP,NA,NA,NA,NA,MRS,NA,332,14:28:00,2525,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,1402,42,0,0,Fuzzy match,0.029085872576177285,10.8610949479,124.72169892630001,10.8610949479,124.72169892630001,FAIL
L3718,1430,APCL16_674,8150,7890,5.7,YR,NA,NA,NA,NA,MRS,NA,332,13:46:00,2518,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,L5359,1447,APCL16_674,8150,7890,5.7,YR,NA,NA,NA,NA,MRS,NA,332,13:46:00,2518,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,1402,28,0,0,Fuzzy match,0.019580419580419582,10.860999184675,124.72178081749999,10.860999184675,124.72178081749999,FAIL
L2949,1447,APCL15_373608,5827,6317,6.4,O,890,NA,985153000373608,NA,MRS,NA,251,15:50:00,478,1027,MRS,NA,5,2015-05-29,Palanas,3,0,L4984,1435,APCL15_373608,5827,6317,6.4,O,890,NA,985153000373608,NA,MRS,NA,251,15:50:00,478,1027,MRS,NA,5,2015-05-29,Palanas,3,0,1404,31,0,0,Fuzzy match,0.021602787456445994,10.873544944925,124.711117548875,10.873544944925,124.711117548875,FAIL
L3706,1447,APCL16_686,8165,7924,5,YR,NA,N,NA,NA,MRS,NA,333,09:03:00,2527,193,MRS,NA,49,2016-06-07,Sitio Baybayon,4,0,L5372,1447,APCL16_686,8165,7924,5,YR,NA,N,NA,NA,MRS,NA,333,09:03:00,2527,193,MRS,NA,49,2016-06-07,Sitio Baybayon,4,0,1404,43,0,0,Fuzzy match,0.029716655148583276,10.632473991725,124.776950064125,10.632473991725,124.776950064125,FAIL
L3712,1444,APCL16_680,8157,7915,5.7,W,NA,NA,NA,NA,MRS,NA,332,14:22:00,2523,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,L5365,1447,APCL16_680,8157,7915,5.7,W,NA,NA,NA,NA,MRS,NA,332,14:22:00,2523,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,1411,33,0,0,Fuzzy match,0.022853185595567867,10.861092915275,124.7217290383,10.861092915275,124.7217290383,FAIL
